hash,num_files,path_1,path_2,split_1,class_1,split_2,class_2
5cd88f93817d8ad7203345747613ddd8,2,../data/raw/unzipped_raw_data/test/normal/normal-491.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-5903.jpg,test,normal,train,tuberculosis
b7decde86a97411de05f96cf8aeae544,2,../data/raw/unzipped_raw_data/test/normal/normal-696.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-3824.jpg,test,normal,train,pneumonia
36d1e38cc3293841e3c221229695420e,2,../data/raw/unzipped_raw_data/test/normal/normal-131.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-1315.jpg,test,normal,train,pneumonia
afce02b448fd06d3bc81065e31bd91f0,2,../data/raw/unzipped_raw_data/test/normal/normal-328.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-4562.jpg,test,normal,train,tuberculosis
790e2ea9208f08d4191aa9759fa079c9,2,../data/raw/unzipped_raw_data/test/normal/normal-715.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-854.jpg,test,normal,test,tuberculosis
1402e1cb9dd505010c23cc389287e4bd,2,../data/raw/unzipped_raw_data/test/normal/normal-129.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-2784.jpg,test,normal,train,tuberculosis
4455bd03a54adeefb0c9686c23f9ab3b,2,../data/raw/unzipped_raw_data/test/normal/normal-884.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-4721.jpg,test,normal,train,pneumonia
d0af712a58b9426407ff78e5d2d76a1f,2,../data/raw/unzipped_raw_data/test/normal/normal-439.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-5440.jpg,test,normal,train,tuberculosis
8db4d8ead90c703fec164aa1538c3c2e,2,../data/raw/unzipped_raw_data/test/normal/normal-326.jpg,../data/raw/unzipped_raw_data/test/pneumonia/pneumonia-266.jpg,test,normal,test,pneumonia
8bd66b24942a3b673f14da094c626626,2,../data/raw/unzipped_raw_data/test/normal/normal-317.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-2265.jpg,test,normal,train,pneumonia
74f71a2dde6a7daf5b143959f0a5ef05,2,../data/raw/unzipped_raw_data/test/normal/normal-191.jpg,../data/raw/unzipped_raw_data/val/tuberculosis/tuberculosis-10489.jpg,test,normal,val,tuberculosis
5ddffebc543ff5204f7249f9e869accd,2,../data/raw/unzipped_raw_data/test/normal/normal-531.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-6179.jpg,test,normal,train,tuberculosis
2c39136997b1956f4bea5919baa32ddd,2,../data/raw/unzipped_raw_data/test/normal/normal-325.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-2292.jpg,test,normal,train,pneumonia
1fe63bea2c6690fe57909a1ef9c4f792,2,../data/raw/unzipped_raw_data/test/normal/normal-645.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-3623.jpg,test,normal,train,pneumonia
22e68f09b61122f673023ff0137ca32f,2,../data/raw/unzipped_raw_data/test/normal/normal-530.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-3168.jpg,test,normal,train,pneumonia
4771e986b807546d4137ec8d1116c8ec,2,../data/raw/unzipped_raw_data/test/normal/normal-899.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9043.jpg,test,normal,train,tuberculosis
9edece38be047d355beae8ab5b036526,2,../data/raw/unzipped_raw_data/test/normal/normal-676.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-809.jpg,test,normal,test,tuberculosis
d864d420b27d30e56419d1a69ffb39e7,2,../data/raw/unzipped_raw_data/test/normal/normal-91.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-136.jpg,test,normal,test,tuberculosis
40aee8eda2e944283971cfdd97e160ad,2,../data/raw/unzipped_raw_data/test/normal/normal-550.jpg,../data/raw/unzipped_raw_data/val/pneumonia/pneumonia-5294.jpg,test,normal,val,pneumonia
78f789634f3bb57b2749f73621724998,2,../data/raw/unzipped_raw_data/test/normal/normal-222.jpg,../data/raw/unzipped_raw_data/val/pneumonia/pneumonia-5449.jpg,test,normal,val,pneumonia
771226bf244391fbe23e9c72892cd167,2,../data/raw/unzipped_raw_data/test/normal/normal-92.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-1204.jpg,test,normal,train,tuberculosis
d37842194f9074132b0060b02d6fef43,2,../data/raw/unzipped_raw_data/test/normal/normal-721.jpg,../data/raw/unzipped_raw_data/test/pneumonia/pneumonia-392.jpg,test,normal,test,pneumonia
a92505f982d8786ff758d691f03d2dd7,2,../data/raw/unzipped_raw_data/test/normal/normal-658.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-3659.jpg,test,normal,train,pneumonia
949a2d7cbc2a8f074c51399f04d9b51f,2,../data/raw/unzipped_raw_data/test/normal/normal-73.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-2152.jpg,test,normal,train,tuberculosis
e8287d6f17ee3b33230ed84a0758c0e4,2,../data/raw/unzipped_raw_data/test/normal/normal-194.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-3283.jpg,test,normal,train,tuberculosis
95f9f30eb08abd113840d9307d8951ae,2,../data/raw/unzipped_raw_data/test/normal/normal-908.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-4817.jpg,test,normal,train,pneumonia
10d81f816df9132459106eeec6f47b12,2,../data/raw/unzipped_raw_data/test/normal/normal-54.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-2019.jpg,test,normal,train,tuberculosis
341574b09ddfb4fb6db5b3ff0aad4c02,2,../data/raw/unzipped_raw_data/test/normal/normal-669.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-723.jpg,test,normal,train,pneumonia
87d8db32b4363951015c2c4f1979771e,2,../data/raw/unzipped_raw_data/test/normal/normal-231.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-3712.jpg,test,normal,train,tuberculosis
a97aefa52a8f1ec855de6c2be0957826,2,../data/raw/unzipped_raw_data/test/normal/normal-293.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-4353.jpg,test,normal,train,tuberculosis
33e7584c2be24be8c475b1396c7b4755,2,../data/raw/unzipped_raw_data/test/normal/normal-192.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-1595.jpg,test,normal,train,pneumonia
09050aedf37a7d29af87bac01b257bfb,2,../data/raw/unzipped_raw_data/test/normal/normal-125.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-2739.jpg,test,normal,train,tuberculosis
9d6fdb40963cc9b12e9e24296ca29701,2,../data/raw/unzipped_raw_data/test/normal/normal-203.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-268.jpg,test,normal,test,tuberculosis
03a72d450fad8e66721514741e4f991b,2,../data/raw/unzipped_raw_data/test/normal/normal-895.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9015.jpg,test,normal,train,tuberculosis
50d8e1e68d25f070a931582afff899a8,2,../data/raw/unzipped_raw_data/test/normal/normal-36.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9472.jpg,test,normal,train,tuberculosis
62ec1e4cd8284efd97da5ec5ce347c47,2,../data/raw/unzipped_raw_data/test/normal/normal-882.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-8907.jpg,test,normal,train,tuberculosis
7cd738c82b1a64c6ddf2f5a653cdc332,2,../data/raw/unzipped_raw_data/test/normal/normal-82.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-2242.jpg,test,normal,train,tuberculosis
05e71a5d6bde8139f0cb71717f767944,2,../data/raw/unzipped_raw_data/test/normal/normal-563.jpg,../data/raw/unzipped_raw_data/val/tuberculosis/tuberculosis-9820.jpg,test,normal,val,tuberculosis
737bdd23d69735c26f7a6eb0fa710062,2,../data/raw/unzipped_raw_data/test/normal/normal-679.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-813.jpg,test,normal,test,tuberculosis
839f9280f43f9451dec4d7ed124aa1f2,2,../data/raw/unzipped_raw_data/test/normal/normal-361.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-4793.jpg,test,normal,train,tuberculosis
466841f6231cb7b388b0a92b79d81fee,2,../data/raw/unzipped_raw_data/test/normal/normal-19.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9348.jpg,test,normal,train,tuberculosis
ae228b12a9dc9a8739a8ab1f661c928b,2,../data/raw/unzipped_raw_data/test/normal/normal-473.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-5743.jpg,test,normal,train,tuberculosis
bec73d04d4c973c32a9a3d24a0bff862,2,../data/raw/unzipped_raw_data/test/normal/normal-421.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-5254.jpg,test,normal,train,tuberculosis
69502b7bd580bd31428c6f30cfec81ae,2,../data/raw/unzipped_raw_data/test/normal/normal-35.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9468.jpg,test,normal,train,tuberculosis
ca43563b27c25d028ede97402d025a7e,2,../data/raw/unzipped_raw_data/test/normal/normal-209.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-1678.jpg,test,normal,train,pneumonia
cec089caf5c0797ff731f1d7f2c7ea6b,2,../data/raw/unzipped_raw_data/test/normal/normal-134.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-1322.jpg,test,normal,train,pneumonia
fa807bd53944a526bb74b6cc0d11125d,2,../data/raw/unzipped_raw_data/test/normal/normal-677.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-7243.jpg,test,normal,train,tuberculosis
b4c8d4236569587e07a3c2bd5fc08071,2,../data/raw/unzipped_raw_data/test/normal/normal-423.jpg,../data/raw/unzipped_raw_data/train/pneumonia/pneumonia-2710.jpg,test,normal,train,pneumonia
b0b4bafd3496f211dd21cd9082dbb6b8,2,../data/raw/unzipped_raw_data/test/normal/normal-770.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-8001.jpg,test,normal,train,tuberculosis
07669c10093c463a1786cfae5ff67f63,2,../data/raw/unzipped_raw_data/test/normal/normal-384.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-4953.jpg,test,normal,train,tuberculosis
74bfe007533c58dbb06ca0dde566094e,2,../data/raw/unzipped_raw_data/test/normal/normal-699.jpg,../data/raw/unzipped_raw_data/val/tuberculosis/tuberculosis-9954.jpg,test,normal,val,tuberculosis
24c6e5a462339a122172c681ef924ddb,2,../data/raw/unzipped_raw_data/test/normal/normal-32.jpg,../data/raw/unzipped_raw_data/train/tuberculosis/tuberculosis-9448.jpg,test,normal,train,tuberculosis
1896f38667be7351a4098fc84f9d7753,2,../data/raw/unzipped_raw_data/test/normal/normal-647.jpg,../data/raw/unzipped_raw_data/test/tuberculosis/tuberculosis-758.jpg,test,normal,test,tuberculosis
665cd00f501c02a498703af98bf67f1b,2,../data/raw/unzipped_raw_data/test/normal/normal-177.jpg,../data/raw/unzipped_raw_data/val/tuberculosis/tuberculosis-10481.jpg,test,normal,val,tuberculosis
